utc_timestamp,timestamp_ms,position_lat,position_long,enhanced_altitude,enhanced_speed,velocity
2019-07-01 14:45:39+00:00,340,57.78678682632744,12.77002276852727,178.79999999999995,11.0556,"(-0.87, 2.94, 0.0)"
2019-07-01 14:45:39+00:00,440,57.78678657487035,12.770024109631777,178.79999999999995,11.3256,"(-1.0, 2.98, 0.0)"
2019-07-01 14:45:39+00:00,540,57.78678322210908,12.77002234943211,178.79999999999995,11.4408,"(-1.09, 2.98, 0.0)"
2019-07-01 14:45:39+00:00,640,57.786775259301066,12.770017655566335,178.79999999999995,11.628,"(-1.14, 3.02, 0.01)"
2019-07-01 14:45:39+00:00,740,57.78677249327302,12.770013213157654,178.79999999999995,11.8332,"(-1.18, 3.06, 0.01)"
2019-07-01 14:45:39+00:00,840,57.78677048161626,12.770013632252812,178.79999999999995,12.078,"(-1.21, 3.12, 0.01)"
2019-07-01 14:45:39+00:00,940,57.78676654212177,12.770018326118588,178.79999999999995,12.3444,"(-1.23, 3.19, 0.01)"
2019-07-01 14:45:39+00:00,40,57.7867666259408,12.770015560090542,178.79999999999995,12.5604,"(-1.26, 3.25, 0.01)"
2019-07-01 14:45:39+00:00,140,57.78676922433078,12.770013129338622,178.79999999999995,12.610800000000001,"(-1.24, 3.27, 0.02)"
2019-07-01 14:45:39+00:00,240,57.786772325634956,12.770007345825434,178.79999999999995,12.715200000000001,"(-1.24, 3.3, 0.02)"
2019-07-01 14:45:40+00:00,340,57.78677609749138,12.770002568140626,178.79999999999995,12.844800000000001,"(-1.26, 3.33, 0.02)"
2019-07-01 14:45:40+00:00,440,57.786779617890716,12.769998461008072,178.79999999999995,12.9384,"(-1.29, 3.35, 0.02)"
2019-07-01 14:45:40+00:00,540,57.786782970651984,12.769994353875518,178.79999999999995,13.014000000000001,"(-1.32, 3.36, 0.03)"
2019-07-01 14:45:40+00:00,640,57.786785904318094,12.769989492371678,178.79999999999995,13.1256,"(-1.36, 3.38, 0.03)"
2019-07-01 14:45:40+00:00,740,57.78678900562227,12.769984798505902,178.79999999999995,13.1688,"(-1.39, 3.38, 0.03)"
2019-07-01 14:45:40+00:00,840,57.78679386712611,12.769981697201729,178.79999999999995,13.1616,"(-1.4, 3.37, 0.04)"
2019-07-01 14:45:40+00:00,940,57.78679839335382,12.769978595897555,178.79999999999995,13.14,"(-1.42, 3.35, 0.04)"
2019-07-01 14:45:40+00:00,40,57.78680224902928,12.76997541077435,178.79999999999995,13.014000000000001,"(-1.44, 3.31, 0.04)"
2019-07-01 14:45:40+00:00,140,57.78680526651442,12.769972393289208,178.79999999999995,12.8124,"(-1.47, 3.23, 0.05)"
2019-07-01 14:45:40+00:00,240,57.786807864904404,12.769969375804067,178.79999999999995,12.5748,"(-1.51, 3.14, 0.05)"
2019-07-01 14:45:41+00:00,340,57.78681054711342,12.769966023042798,178.79999999999995,12.4596,"(-1.57, 3.08, 0.05)"
2019-07-01 14:45:41+00:00,440,57.78681272640824,12.769962083548307,178.79999999999995,12.3264,"(-1.62, 3.01, 0.05)"
2019-07-01 14:45:41+00:00,540,57.786812810227275,12.769957557320595,178.79999999999995,12.186,"(-1.7, 2.92, 0.05)"
2019-07-01 14:45:41+00:00,640,57.78681264258921,12.769952695816755,178.79999999999995,11.959200000000001,"(-1.77, 2.8, 0.05)"
2019-07-01 14:45:41+00:00,740,57.786812810227275,12.769947918131948,178.79999999999995,11.862,"(-1.83, 2.73, 0.05)"
2019-07-01 14:45:41+00:00,840,57.78681306168437,12.769943894818425,178.79999999999995,11.8188,"(-1.88, 2.68, 0.05)"
2019-07-01 14:45:41+00:00,940,57.7868133969605,12.76993970386684,178.79999999999995,11.7468,"(-1.93, 2.63, 0.05)"
2019-07-01 14:45:41+00:00,40,57.78681415133178,12.769935680553317,178.79999999999995,11.610000000000001,"(-1.95, 2.56, 0.05)"
2019-07-01 14:45:41+00:00,140,57.78681557625532,12.769931992515922,178.79999999999995,11.4984,"(-1.96, 2.52, 0.05)"
2019-07-01 14:45:41+00:00,240,57.78681649826467,12.769928555935621,178.79999999999995,11.3292,"(-1.98, 2.44, 0.05)"
2019-07-01 14:45:42+00:00,340,57.78681800700724,12.769924951717257,178.79999999999995,11.390400000000001,"(-2.05, 2.4, 0.05)"
2019-07-01 14:45:42+00:00,440,57.78681892901659,12.76992117986083,178.79999999999995,11.404800000000002,"(-2.14, 2.33, 0.05)"
2019-07-01 14:45:42+00:00,540,57.78681976720691,12.769917324185371,178.79999999999995,11.3256,"(-2.2, 2.24, 0.05)"
2019-07-01 14:45:42+00:00,640,57.786820689216256,12.769913636147976,178.79999999999995,11.1528,"(-2.24, 2.13, 0.05)"
2019-07-01 14:45:42+00:00,740,57.786821611225605,12.769910199567676,178.79999999999995,10.9152,"(-2.24, 2.04, 0.05)"
2019-07-01 14:45:42+00:00,840,57.786822030320764,12.769906846806407,178.79999999999995,10.5264,"(-2.24, 1.87, 0.06)"
2019-07-01 14:45:42+00:00,940,57.786822617053986,12.769903410226107,179.0,10.1736,"(-2.22, 1.73, 0.06)"
2019-07-01 14:45:42+00:00,40,57.786823622882366,12.76989963836968,179.0,9.864,"(-2.22, 1.6, 0.06)"
2019-07-01 14:45:42+00:00,140,57.78682479634881,12.769895950332284,179.0,9.7164,"(-2.22, 1.52, 0.06)"
2019-07-01 14:45:42+00:00,240,57.78682580217719,12.769892262294888,179.0,9.5508,"(-2.24, 1.4, 0.06)"
2019-07-01 14:45:43+00:00,340,57.78682731091976,12.769887987524271,179.0,9.5724,"(-2.31, 1.3, 0.06)"
