utc_timestamp,timestamp_ms_b,position_lat_b,position_long_b,enhanced_altitude_b,enhanced_speed_b,velocity_b,ms_bin,timestamp_ms_f,position_lat_f,position_long_f,enhanced_altitude_f,enhanced_speed_f,velocity_f,dist,pos_lat_b_rad,pos_lon_b_rad,alt_b_m,pos_lat_f_rad,pos_lon_f_rad,alt_f_m,E_b,N_b,U_b,E_f,N_f,U_f,dist_enu
2019-07-01 14:45:39+00:00,840,57.78677048161626,12.770013632252812,178.79999999999995,12.078,"(-1.21, 3.12, 0.01)",8,844,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",776.5745736009002,1.0085694089984731,0.2228787834073719,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-146.36581294138418,207.8943359759312,-0.10919181877089557,193.84352182155183,-249.87644370986897,0.017193530040401583,570.3476958551172
2019-07-01 14:45:39+00:00,940,57.786766542121775,12.770018326118588,178.79999999999995,12.3444,"(-1.23, 3.19, 0.01)",9,944,57.78265815228224,12.775736041367054,186.6,0.0,"(0.0, 0.01, 0.05)",776.3453147575419,1.0085693402413236,0.22287886533078435,3.1206487025658602,1.0084976353116681,0.22297865828756155,3.256784384221419,-146.0866189879193,207.45556882971715,-0.10917115475250228,194.04797801611412,-250.10981538379886,0.024159502244572195,570.1382662886459
2019-07-01 14:45:40+00:00,40,57.786802249029286,12.76997541077435,178.79999999999995,13.014,"(-1.44, 3.31, 0.04)",0,44,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",782.032242675707,1.0085699634444252,0.22287811631672777,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-148.63924843320655,211.43248109910814,-0.10936051843268046,193.84352182155183,-249.87644370986897,0.017193530040401583,574.5436345881097
2019-07-01 14:45:40+00:00,140,57.78680526651443,12.769972393289207,178.79999999999995,12.8124,"(-1.47, 3.23, 0.05)",1,144,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",782.4948589426717,1.0085700161094762,0.22287806365167687,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-148.81872791620316,211.76855693055677,-0.10937583727651656,193.84352182155183,-249.87644370986897,0.017193530040401583,574.9204640917237
2019-07-01 14:45:40+00:00,240,57.7868078649044,12.769969375804068,178.79999999999995,12.5748,"(-1.51, 3.14, 0.05)",2,244,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",782.9313723550747,1.0085700614599362,0.2228780109866261,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-148.99820909499246,212.0579564877377,-0.109389629314947,193.84352182155183,-249.87644370986897,0.017193530040401583,575.2598183143606
2019-07-01 14:45:40+00:00,340,57.786776097491376,12.770002568140626,178.79999999999995,12.8448,"(-1.26, 3.33, 0.02)",3,344,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",777.9315995188103,1.0085695070139842,0.22287859030218546,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-147.02392765195142,208.51982206472073,-0.10922732729559925,193.84352182155183,-249.87644370986897,0.017193530040401583,571.242304603653
2019-07-01 14:45:40+00:00,440,57.78677961789072,12.769998461008072,178.79999999999995,12.9384,"(-1.29, 3.35, 0.02)",4,444,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",778.5246849853626,1.0085695684565439,0.22287851861919958,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-147.2682219120124,208.91191172658364,-0.10924577358404974,193.84352182155183,-249.87644370986897,0.017193530040401583,571.7027136405206
2019-07-01 14:45:40+00:00,540,57.78678297065198,12.769994353875518,178.79999999999995,13.014,"(-1.32, 3.36, 0.03)",5,544,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",779.1073416616349,1.0085696269732667,0.2228784469362137,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-147.51251680786476,209.2853308868346,-0.10926364199089278,193.84352182155183,-249.87644370986897,0.017193530040401583,572.1481419623576
2019-07-01 14:45:40+00:00,640,57.7867859043181,12.769989492371678,178.79999999999995,13.1256,"(-1.36, 3.38, 0.03)",6,644,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",779.732618208007,1.0085696781753999,0.2228783620869651,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-147.80168636575507,209.6120754356997,-0.1092810445862682,193.84352182155183,-249.87644370986897,0.017193530040401583,572.5828878858972
2019-07-01 14:45:40+00:00,740,57.786789005622275,12.769984798505902,178.79999999999995,13.1688,"(-1.39, 3.38, 0.03)",7,744,57.78266024775804,12.775732604786755,186.20000000000005,0.0,"(0.0, 0.0, 0.0)",780.3530609464423,1.0085697323033687,0.22287828016355266,3.1206487025658602,1.0084976718846201,0.22297859830792036,3.2498030672134424,-148.08088341438315,209.95749014621862,-0.10929886039043879,193.84352182155183,-249.87644370986897,0.017193530040401583,573.0266674613298
