Time(s),Velocity(m/s) A8 ubx,metric A8 ubx,E A8 ubx,N A8 ubx,U A8 ubx,Velocity(m/s) Tesla ubx,metric Tesla ubx,E Tesla ubx,N Tesla ubx,U Tesla ubx,Velocity(m/s) BMW ubx,metric BMW ubx,E BMW ubx,N BMW ubx,U BMW ubx,Velocity(m/s) A6 ubx,metric A6 ubx,E A6 ubx,N A6 ubx,U A6 ubx,Velocity(m/s) Mercedes ubx,metric Mercedes ubx,E Mercedes ubx,N Mercedes ubx,U Mercedes ubx
47854.4,16.68790701,0.575,172.2555162,644.4240835,0.495869354,16.2191968,0.49999999700000003,194.8938089,608.9520565,-3.35386354,17.061,0.300000001,222.3567372,569.9315636,0.601509308,17.261,0.35,250.0792062,528.5354994,0.650735564,16.663,0.6,266.9689047,501.30565099999995,0.589103857
47854.5,16.68508254,0.583333333,171.3572164,645.8103928999999,0.495596466,16.23497455,0.549999997,193.99094159999999,610.3028343,-3.353965127,17.06422627,0.3,221.40852009999998,571.3562582999999,0.60039024,17.25822569,0.333333334,249.14501380000002,529.9488741,0.649850779,16.68133638,0.6,266.044178,502.6969757,0.588249785
47854.6,16.68151594,0.5916666660000001,170.45893610000002,647.1961267,0.495332366,16.24975667,0.5999999970000001,193.0881169,611.6540685,-3.35406717,17.06784413,0.3,220.46167799999998,572.7868016,0.59932634,17.25161785,0.316666668,248.20767990000002,531.3582643999999,0.648885334,16.69869929,0.6,265.1177137,504.09022930000003,0.587398388
47854.7,16.677,0.6,169.5607011,648.5812684,0.495087373,16.26387678,0.6,192.1857786,613.0056081,-3.35416967,17.070999999999998,0.3,219.51313199999998,574.2193042,0.598151399,17.239,0.300000001,247.2652884,532.7675351,0.647909996,16.71526792,0.6,264.1898123,505.48475870000004,0.586557984
47854.8,16.67145543,0.591666667,168.6625254,649.9658001,0.494867732,16.27722745,0.6,191.2835556,614.3574378999999,-3.354272615,17.07290844,0.31666666600000004,218.56073659999998,575.65052,0.596753356,17.2195171,0.3,246.3171463,534.1797151000001,0.646977688,16.73122145,0.6,263.2607747,506.8799103999999,0.585736891
47854.9,16.66531474,0.583333334,167.7643759,651.3496968999999,0.494663381,16.28959095,0.6,190.3808735,615.7095764999999,-3.3543759910000004,17.07305666,0.333333332,217.60608080000003,577.0797769,0.595236734,17.19759976,0.3,245.3674535,535.5944896999999,0.64606993,16.74673908,0.6,262.33090150000004,508.2750312,0.58494343
47855.0,16.6591384,0.575,166.8662082,652.7329323,0.494460182,16.30074958,0.6,189.4771579,617.0620427,-3.354479783,17.070999999999998,0.349999999,216.6516875,578.5070458,0.593760206,17.179000000000002,0.3,244.42163309999998,537.0107084,0.645150395,16.762,0.6,261.40049359999995,509.6694678,0.584185917
47855.1,16.65348685,0.566666667,165.96797759999998,654.1154798,0.494243996,16.31048562,0.6,188.5718343,618.4148551,-3.354583977,17.06687458,0.35,215.6993173,579.9323350999999,0.592435872,17.16781703,0.3,243.48377230000003,538.4275355000001,0.644188843,16.77720094,0.6083333329999999,260.4697255,511.06278990000004,0.583468459
47855.2,16.64892057,0.558333334,165.0696394,655.4973127999999,0.49400068399999997,16.31858136,0.6,187.6643283,619.7680324,-3.3546885580000003,17.06313952,0.35,214.7476827,581.3558024,0.591189555,17.16153869,0.3,242.5526156,539.8453945,0.6431793720000001,16.79260885,0.616666666,259.5382673,512.4554588000001,0.5827783129999999
47855.3,16.646,0.55,164.17114919999997,656.8784047,0.493716107,16.3248191,0.6,186.7540653,621.1215933,-3.354793514,17.062834699999996,0.35,213.79473399999998,582.7776427,0.58990051,17.156,0.3,241.6255713,541.265024,0.642122168,16.80850822,0.625,258.6056631,513.8481588999999,0.582098523
47855.4,16.64496802,0.55,163.2725023,658.2586437000001,0.493381161,16.32898111,0.6,185.8404709,622.4755564,-3.354898828,17.069000000000003,0.35,212.83842180000002,584.1980507000001,0.588447988,17.14795552,0.3,240.69998199999998,542.6871512,0.641019451,16.82518354,0.6333333329999999,257.6714569,515.2415746,0.5814121320000001
47855.5,16.64479712,0.55,162.3738551,659.6375756,0.493006877,16.33095782,0.699999994,184.92329630000003,623.8299371,-3.355004497,17.08316732,0.333333334,211.8773793,585.6172121000001,0.586746883,17.13783807,0.3,239.7729249,544.1124585,0.639881595,16.8429193,0.641666666,256.7351926,516.6363903,0.580702184
47855.6,16.64414222,0.55,161.4754037,661.0146611,0.49260932,16.33107213,0.7999999940000001,184.0035957,625.1847366000001,-3.355110551,17.10083665,0.316666668,210.91297269999998,587.0352763,0.5848546370000001,17.127,0.3,238.84141110000002,545.541617,0.638721008,16.862000000000002,0.65,255.7964143,518.0332903,0.579951724
47855.7,16.64165821,0.55,160.5773446,662.3893605000001,0.492204555,16.3297551,0.8999999940000001,183.0827487,626.5399530000001,-3.355217032,17.116,0.300000001,209.9472509,588.4523832,0.582864335,17.11650902,0.31666666600000004,237.9036119,546.9746154000001,0.637543026,16.88259316,0.642857143,254.85485469999998,519.4328158,0.579149613
47855.8,16.636,0.55,159.6798741,663.7611346,0.49180864700000004,16.32743778,0.9999999940000001,182.1621352,627.8955841,-3.3553239789999996,17.124117000000002,0.31666666600000004,208.98223869999998,589.8689454,0.580875728,17.10629422,0.333333332,236.96233900000001,548.4087124,0.6363246770000001,16.90439843,0.635714286,253.91100150000003,520.8349354,0.578307982
47855.9,16.62633608,0.55,158.7831137,665.1297117,0.49143098,16.3244929,1.0,181.2428949,629.2516257,-3.355431425,17.12651775,0.333333332,208.01986509999998,591.2864654,0.579015241,17.096,0.349999999,236.0215645,549.8404846,0.6350359179999999,16.92699847,0.628571429,252.96553160000002,522.2394743,0.577444781
47856.0,16.61388923,0.55,157.8868861,666.4958932999999,0.49105421200000005,16.32105999,1.0,180.3252085,630.6080648,-3.3555393760000003,17.125999999999998,0.349999999,207.0620345,592.7067181,0.577415972,17.08542834,0.35,235.084179,551.2673775000001,0.633653727,16.94997598,0.621428572,252.0191213,523.646258,0.576577959
