Time(s),Velocity(m/s) A8 azd,metric A8 azd,E A8 azd,N A8 azd,U A8 azd,Velocity(m/s) Tesla azd,metric Tesla azd,E Tesla azd,N Tesla azd,U Tesla azd,Velocity(m/s) BMW azd,metric BMW azd,E BMW azd,N BMW azd,U BMW azd,Velocity(m/s) A6 azd,metric A6 azd,E A6 azd,N A6 azd,U A6 azd,Velocity(m/s) Mercedes azd,metric Mercedes azd,E Mercedes azd,N Mercedes azd,U Mercedes azd
47855.4,16.35272727,0.1,162.4884655,659.2562044,-0.157868384,16.37,0.1,185.8256824,623.5070926,-0.121527543,17.03181818,0.1,212.57882400000003,583.2944289,-0.085219688,17.01272727,0.1,239.0164876,543.7180727000001,-0.060034305,16.82,0.1,257.4375969,516.3108962,-0.038650939
47855.5,16.35222222,0.1,161.581601,660.6189124,-0.15912061800000002,16.36888889,0.1,184.91779250000002,624.8678940000001,-0.122748341,17.04,0.1,211.63215809999997,584.7103692000001,-0.086462203,17.00222222,0.1,238.0808587,545.1379672999999,-0.060972927999999996,16.84444444,0.1,256.5032963,517.7103006,-0.039496827000000005
47855.6,16.35090909,0.1,160.67416619999997,661.9813506,-0.160384686,16.36727273,0.1,184.010432,626.2284819,-0.12392636,17.05,0.1,210.6852284,586.1268721,-0.08769975,16.98818182,0.1,237.1461076,546.5570859000001,-0.061939823,16.86727273,0.1,255.56757230000002,519.1107175,-0.040334193
47855.7,16.35444444,0.1,159.7669844,663.3436652,-0.16166538800000002,16.36111111,0.1,183.1022189,627.5889237000001,-0.125123446,17.05555556,0.1,209.738816,587.5447366000001,-0.088940716,16.97666667,0.1,236.2117359,547.9751698,-0.06295593,16.89,0.1,254.63011830000002,520.5124733,-0.041152829
47855.8,16.35363636,0.1,158.85916630000003,664.7054851,-0.162919999,16.36272727,0.1,182.1939403,628.9485557,-0.126301303,17.06090909,0.1,208.7925004,588.9637712,-0.090204285,16.96636364,0.1,235.27740699999998,549.3915439,-0.064015006,16.91454545,0.1,253.69068199999998,521.9165128999999,-0.042014678
47855.9,16.35444444,0.1,157.9515111,666.0673051,-0.16419037,16.36222222,0.1,181.28479719999999,630.3076029,-0.127575575,17.07,0.1,207.8463356,590.3836836,-0.09148161699999999,16.95777778,0.1,234.34340930000005,550.8064333,-0.065077945,16.93555555,0.1,252.75000240000003,523.3223188999999,-0.04292538
47856.0,16.35727273,0.1,157.0435742,667.4285066000001,-0.165487005,16.34636364,0.1,180.376586,631.6668079,-0.128817342,17.07181818,0.1,206.9002615,591.8040124,-0.092747459,16.94727273,0.1,233.40925,552.2203329,-0.06613119,16.95545454,0.1,251.80811569999997,524.730105,-0.043833822
47856.1,16.35888889,0.1,156.135776,668.7897082999999,-0.166782828,16.34333333,0.1,179.4691626,633.0249217999999,-0.13005450400000002,17.08,0.1,205.9543865,593.2247352999999,-0.094009039,16.93777778,0.1,232.4753498,553.6347277000001,-0.06717242400000001,16.97666667,0.1,250.8651299,526.1394661999999,-0.044738920999999994
47856.2,16.36181818,0.1,155.22766000000001,670.1510227000001,-0.168065147,16.33272727,0.1,178.56172180000002,634.3829347,-0.131322219,17.08636364,0.1,205.00851200000002,594.6462796,-0.09528314199999999,16.92727273,0.1,231.54142030000003,555.0473003,-0.068223644,16.99727273,0.1,249.92079269999996,527.5506839,-0.045671017
47856.3,16.36,0.1,154.3209025,671.5132261,-0.16929953,16.32888889,0.1,177.65445590000002,635.7396428,-0.132542628,17.09333333,0.1,204.0621094,596.0685103,-0.096600588,16.91777778,0.1,230.60768969999998,556.4590631,-0.069283887,17.01555555,0.1,248.9746415,528.9630491,-0.046589486
